$k_{\rm{s}}$,$k_{\rm{c}}$,$r_{\rm{b}}$,$l_{\rm{c}}$,$E$
-1.670000e+00,-2.131030e+00,1.485000e+00,1.670000e+00,6.300000e-01
-9.300000e-01,-3.310300e-01,1.795000e+00,1.590000e+00,-3.300000e-01
-3.100000e-01,-8.710300e-01,1.895000e+00,1.170000e+00,-6.700000e-01
-1.690000e+00,-5.710300e-01,1.975000e+00,1.550000e+00,3.900000e-01
-9.500000e-01,-1.551030e+00,1.165000e+00,6.500000e-01,-1.000000e-02
-1.190000e+00,-1.411030e+00,1.995000e+00,1.450000e+00,-2.900000e-01
-5.100000e-01,-1.271030e+00,1.665000e+00,2.700000e-01,-4.500000e-01
-1.050000e+00,-8.910300e-01,1.565000e+00,4.300000e-01,4.300000e-01
-1.370000e+00,-3.910300e-01,1.645000e+00,1.070000e+00,-9.300000e-01
-1.230000e+00,-1.891030e+00,1.535000e+00,1.570000e+00,5.000000e-02
-1.100000e-01,-7.310300e-01,1.835000e+00,6.300000e-01,-8.700000e-01
-8.500000e-01,-1.011030e+00,1.155000e+00,1.000000e-02,3.000000e-02
-1.250000e+00,-6.710300e-01,1.245000e+00,9.700000e-01,-5.700000e-01
-5.700000e-01,-9.510300e-01,1.385000e+00,1.010000e+00,-8.100000e-01
-8.700000e-01,-1.671030e+00,1.885000e+00,8.900000e-01,1.900000e-01
-1.650000e+00,-1.111030e+00,1.625000e+00,8.700000e-01,-1.700000e-01
-1.750000e+00,-4.710300e-01,1.815000e+00,8.100000e-01,4.500000e-01
-1.510000e+00,-1.711030e+00,1.715000e+00,1.990000e+00,2.900000e-01
-1.530000e+00,-1.291030e+00,1.055000e+00,1.630000e+00,4.700000e-01
-7.300000e-01,-1.391030e+00,1.025000e+00,9.300000e-01,9.900000e-01
-5.500000e-01,-3.510300e-01,1.115000e+00,1.730000e+00,8.500000e-01
-6.900000e-01,-2.071030e+00,1.295000e+00,2.500000e-01,-6.300000e-01
-1.270000e+00,-1.431030e+00,1.095000e+00,7.500000e-01,1.500000e-01
-1.500000e-01,-2.011030e+00,1.865000e+00,1.750000e+00,4.100000e-01
-1.850000e+00,-1.991030e+00,1.135000e+00,1.230000e+00,6.900000e-01
-1.070000e+00,-4.910300e-01,1.195000e+00,1.470000e+00,1.700000e-01
-1.770000e+00,-1.231030e+00,1.215000e+00,4.100000e-01,-9.100000e-01
-1.090000e+00,-1.531030e+00,1.855000e+00,1.190000e+00,8.900000e-01
-1.030000e+00,-1.091030e+00,1.425000e+00,3.000000e-02,-9.900000e-01
-1.630000e+00,-3.110300e-01,1.065000e+00,9.000000e-02,3.100000e-01
-2.700000e-01,-1.211030e+00,1.005000e+00,1.150000e+00,2.500000e-01
-2.100000e-01,-6.310300e-01,1.755000e+00,1.410000e+00,7.500000e-01
-1.710000e+00,-1.491030e+00,1.775000e+00,7.300000e-01,-6.100000e-01
-5.900000e-01,-1.691030e+00,1.585000e+00,6.900000e-01,-7.000000e-02
-8.900000e-01,-4.110300e-01,1.735000e+00,1.130000e+00,5.100000e-01
-1.110000e+00,-8.510300e-01,1.125000e+00,5.500000e-01,-7.100000e-01
-4.500000e-01,-1.731030e+00,1.145000e+00,1.910000e+00,-8.900000e-01
-3.900000e-01,-7.510300e-01,1.705000e+00,1.030000e+00,6.100000e-01
-1.430000e+00,-5.310300e-01,1.445000e+00,7.100000e-01,-1.500000e-01
-3.700000e-01,-1.251030e+00,1.655000e+00,1.610000e+00,2.300000e-01
-7.000000e-02,-2.051030e+00,1.405000e+00,1.650000e+00,9.000000e-02
-1.130000e+00,-1.511030e+00,1.685000e+00,5.000000e-02,7.100000e-01
-1.970000e+00,-2.291030e+00,1.395000e+00,5.100000e-01,2.100000e-01
-1.350000e+00,-2.111030e+00,1.175000e+00,2.100000e-01,9.100000e-01
-3.500000e-01,-4.510300e-01,1.415000e+00,2.300000e-01,1.300000e-01
-1.410000e+00,-1.151030e+00,1.355000e+00,1.770000e+00,-3.700000e-01
-1.470000e+00,-9.110300e-01,1.605000e+00,1.250000e+00,2.700000e-01
-1.210000e+00,-1.071030e+00,1.305000e+00,1.870000e+00,5.500000e-01
-7.100000e-01,-8.310300e-01,1.635000e+00,1.210000e+00,-3.000000e-02
-1.000000e-02,-1.031030e+00,1.515000e+00,1.510000e+00,-8.500000e-01
-7.500000e-01,-9.710300e-01,1.955000e+00,1.690000e+00,-5.900000e-01
-1.170000e+00,-2.151030e+00,1.045000e+00,8.300000e-01,-4.700000e-01
-9.000000e-02,-1.791030e+00,1.035000e+00,3.900000e-01,-1.300000e-01
-1.610000e+00,-2.031030e+00,1.255000e+00,1.050000e+00,-2.100000e-01
-4.900000e-01,-1.571030e+00,1.335000e+00,1.430000e+00,3.500000e-01
-3.000000e-02,-1.451030e+00,1.185000e+00,1.100000e-01,-3.500000e-01
-1.700000e-01,-7.710300e-01,1.265000e+00,7.900000e-01,7.700000e-01
-4.100000e-01,-2.191030e+00,1.475000e+00,7.700000e-01,-2.300000e-01
-1.490000e+00,-7.910300e-01,1.765000e+00,1.300000e-01,1.000000e-02
-1.910000e+00,-1.771030e+00,1.575000e+00,1.490000e+00,-5.300000e-01
-1.310000e+00,-5.910300e-01,1.285000e+00,4.500000e-01,5.900000e-01
-1.010000e+00,-2.091030e+00,1.925000e+00,1.950000e+00,-1.900000e-01
-1.150000e+00,-1.811030e+00,1.365000e+00,1.290000e+00,7.300000e-01
-3.300000e-01,-2.231030e+00,1.075000e+00,1.370000e+00,-6.500000e-01
-1.330000e+00,-1.471030e+00,1.695000e+00,1.710000e+00,-7.900000e-01
-9.900000e-01,-2.271030e+00,1.675000e+00,1.900000e-01,4.900000e-01
-1.590000e+00,-7.110300e-01,1.015000e+00,1.390000e+00,-9.700000e-01
-2.500000e-01,-1.651030e+00,1.615000e+00,1.890000e+00,9.700000e-01
-1.290000e+00,-1.631030e+00,1.555000e+00,1.110000e+00,-3.900000e-01
-8.100000e-01,-6.510300e-01,1.085000e+00,1.310000e+00,-1.100000e-01
-1.450000e+00,-1.971030e+00,1.915000e+00,3.100000e-01,-3.100000e-01
-1.930000e+00,-9.910300e-01,1.525000e+00,6.700000e-01,8.100000e-01
-9.700000e-01,-4.310300e-01,1.505000e+00,1.850000e+00,-6.900000e-01
-6.100000e-01,-5.110300e-01,1.945000e+00,7.000000e-02,-5.100000e-01
-1.830000e+00,-1.331030e+00,1.595000e+00,1.700000e-01,-5.500000e-01
-1.810000e+00,-1.751030e+00,1.235000e+00,6.100000e-01,5.300000e-01
-7.900000e-01,-1.951030e+00,1.805000e+00,5.300000e-01,-8.300000e-01
-1.990000e+00,-6.110300e-01,1.325000e+00,9.100000e-01,-4.300000e-01
-7.700000e-01,-1.831030e+00,1.465000e+00,1.500000e-01,5.700000e-01
-1.890000e+00,-6.910300e-01,1.905000e+00,2.900000e-01,9.300000e-01
-1.730000e+00,-8.110300e-01,1.455000e+00,1.930000e+00,8.300000e-01
-1.550000e+00,-1.871030e+00,1.985000e+00,9.900000e-01,3.300000e-01
-1.300000e-01,-5.510300e-01,1.315000e+00,1.970000e+00,-2.700000e-01
-2.900000e-01,-1.911030e+00,1.965000e+00,4.900000e-01,7.900000e-01
-1.900000e-01,-1.851030e+00,1.745000e+00,8.500000e-01,-9.500000e-01
-1.570000e+00,-1.591030e+00,1.375000e+00,3.300000e-01,-7.500000e-01
-1.870000e+00,-9.310300e-01,1.105000e+00,1.830000e+00,-2.500000e-01
-5.300000e-01,-2.171030e+00,1.785000e+00,9.500000e-01,1.100000e-01
-2.300000e-01,-1.351030e+00,1.875000e+00,3.500000e-01,-9.000000e-02
-4.700000e-01,-3.710300e-01,1.495000e+00,4.700000e-01,-4.100000e-01
-6.300000e-01,-2.211030e+00,1.345000e+00,1.530000e+00,9.500000e-01
-6.700000e-01,-1.611030e+00,1.435000e+00,1.330000e+00,-4.900000e-01
-6.500000e-01,-1.051030e+00,1.225000e+00,5.900000e-01,3.700000e-01
-8.300000e-01,-1.131030e+00,1.935000e+00,5.700000e-01,8.700000e-01
-1.950000e+00,-1.371030e+00,1.845000e+00,1.790000e+00,-5.000000e-02
-1.790000e+00,-2.251030e+00,1.725000e+00,1.270000e+00,-7.700000e-01
-1.390000e+00,-1.171030e+00,1.825000e+00,1.350000e+00,7.000000e-02
-5.000000e-02,-1.191030e+00,1.545000e+00,3.700000e-01,6.500000e-01
-9.100000e-01,-1.931030e+00,1.275000e+00,1.810000e+00,-7.300000e-01
-4.300000e-01,-1.311030e+00,1.205000e+00,1.090000e+00,6.700000e-01
